username,week,total_engagement,text_length,retweet_count,reply_count,like_count,quote_count,tweet_count,rolling_engagement,rolling_tweet_count,engagement_per_text_length,tweet_count_delta,degree_centrality,pagerank,betweenness_centrality,closeness_centrality,eigenvector_centrality,followers_count,friends_count,statuses_count,community,log_followers,engagement_per_follower
Myth_,2025-05-19/2025-05-25,2418.0,76.0,17.333333333333332,88.33333333333333,2311.6666666666665,0.6666666666666666,3,,,31.81578947368421,0.0,0.1578947368421052,0.0304274919923781,0.0,0.1122807017543859,0.1469754567583981,2404818.0,632.0,20433.0,2,14.692985198814572,0.0010054814958969868
Myth_,2025-05-26/2025-06-01,510.0,46.5,5.5,5.5,499.0,0.0,2,2418.0,3.0,10.96774193548387,-1.0,0.1578947368421052,0.0304274919923781,0.0,0.1122807017543859,0.1469754567583981,2404818.0,632.0,20433.0,2,14.692985198814572,0.0002120742609212007
Myth_,2025-06-02/2025-06-08,253.0,106.66666666666667,1.8333333333333333,6.0,245.0,0.16666666666666666,6,1464.0,2.5,2.3718749999999997,4.0,0.1578947368421052,0.0304274919923781,0.0,0.1122807017543859,0.1469754567583981,2404818.0,632.0,20433.0,2,14.692985198814572,0.00010520546669228191
Myth_,2025-06-09/2025-06-15,1191.5,81.0,7.5,10.0,1172.5,1.5,2,1060.3333333333333,3.6666666666666665,14.709876543209877,-4.0,0.1578947368421052,0.0304274919923781,0.0,0.1122807017543859,0.1469754567583981,2404818.0,632.0,20433.0,2,14.692985198814572,0.0004954636899757071
Ninja,2025-04-14/2025-04-20,1173.0,37.0,38.0,57.0,1073.0,5.0,1,,,31.7027027027027,0.0,0.4736842105263157,0.0631479962049294,0.1023391812865497,0.1403508771929824,0.3247061584787793,6528161.0,1515.0,46063.0,0,15.691635991494634,0.00017968306847824373
Ninja,2025-04-21/2025-04-27,5700.0,26.0,138.0,244.0,5255.0,63.0,1,1173.0,1.0,219.23076923076923,0.0,0.4736842105263157,0.0631479962049294,0.1023391812865497,0.1403508771929824,0.3247061584787793,6528161.0,1515.0,46063.0,0,15.691635991494634,0.0008731402304569388
Ninja,2025-04-28/2025-05-04,914.0,106.5,27.0,29.5,856.5,1.0,2,3436.5,1.0,8.582159624413146,1.0,0.4736842105263157,0.0631479962049294,0.1023391812865497,0.1403508771929824,0.3247061584787793,6528161.0,1515.0,46063.0,0,15.691635991494634,0.00014000880186625298
Ninja,2025-05-12/2025-05-18,17080.0,89.0,848.0,124.0,16051.0,57.0,1,2595.6666666666665,1.3333333333333333,191.91011235955057,-1.0,0.4736842105263157,0.0631479962049294,0.1023391812865497,0.1403508771929824,0.3247061584787793,6528161.0,1515.0,46063.0,0,15.691635991494634,0.0026163570414393885
Ninja,2025-05-19/2025-05-25,547.0,152.5,48.25,8.25,490.25,0.25,4,7898.0,1.3333333333333333,3.586885245901639,3.0,0.4736842105263157,0.0631479962049294,0.1023391812865497,0.1403508771929824,0.3247061584787793,6528161.0,1515.0,46063.0,0,15.691635991494634,8.379082562455185e-05
Ninja,2025-05-26/2025-06-01,2220.3333333333335,85.66666666666667,71.66666666666667,41.333333333333336,2098.3333333333335,9.0,3,6180.333333333333,2.3333333333333335,25.91828793774319,-1.0,0.4736842105263157,0.0631479962049294,0.1023391812865497,0.1403508771929824,0.3247061584787793,6528161.0,1515.0,46063.0,0,15.691635991494634,0.0003401162032206824
Ninja,2025-06-02/2025-06-08,9.0,140.0,9.0,0.0,0.0,0.0,1,6615.777777777777,2.6666666666666665,0.06428571428571428,-2.0,0.4736842105263157,0.0631479962049294,0.1023391812865497,0.1403508771929824,0.3247061584787793,6528161.0,1515.0,46063.0,0,15.691635991494634,1.378642469142535e-06
Ninja,2025-06-09/2025-06-15,5872.0,100.0,240.0,37.25,5587.75,7.0,4,925.4444444444445,2.6666666666666665,58.72,3.0,0.4736842105263157,0.0631479962049294,0.1023391812865497,0.1403508771929824,0.3247061584787793,6528161.0,1515.0,46063.0,0,15.691635991494634,0.0008994876198672183
OMGitsAliA,2025-05-26/2025-06-01,910.6666666666666,77.33333333333333,39.666666666666664,22.166666666666668,845.8333333333334,3.0,6,,,11.775862068965518,0.0,0.1578947368421052,0.0562906741276622,0.0292397660818713,0.1547987616099071,0.2135016053750628,2383888.0,1011.0,62634.0,0,14.684243745680723,0.0003820089981855971
OMGitsAliA,2025-06-02/2025-06-08,972.4545454545455,91.45454545454545,45.18181818181818,36.72727272727273,887.7272727272727,2.8181818181818183,11,910.6666666666666,6.0,10.633200795228628,5.0,0.1578947368421052,0.0562906741276622,0.0292397660818713,0.1547987616099071,0.2135016053750628,2383888.0,1011.0,62634.0,0,14.684243745680723,0.00040792795024537456
OMGitsAliA,2025-06-09/2025-06-15,2189.0,89.5,53.0,28.5,2106.0,1.5,2,941.560606060606,8.5,24.45810055865922,-9.0,0.1578947368421052,0.0562906741276622,0.0292397660818713,0.1547987616099071,0.2135016053750628,2383888.0,1011.0,62634.0,0,14.684243745680723,0.0009182478371467116
Pokelawls,2025-03-24/2025-03-30,176.0,46.5,0.0,20.5,155.5,0.0,2,,,3.78494623655914,0.0,,,,,,,,,-1,,
Pokelawls,2025-03-31/2025-04-06,177.5,34.5,1.5,8.0,168.0,0.0,2,176.0,2.0,5.144927536231884,0.0,,,,,,,,,-1,,
Pokelawls,2025-04-07/2025-04-13,48.0,96.0,2.0,1.0,45.0,0.0,1,176.75,2.0,0.5,-1.0,,,,,,,,,-1,,
Pokelawls,2025-04-14/2025-04-20,283.5,36.5,7.0,25.0,250.5,1.0,2,133.83333333333334,1.6666666666666667,7.767123287671233,1.0,,,,,,,,,-1,,
Pokelawls,2025-04-21/2025-04-27,442.5,62.25,3.25,28.5,410.75,0.0,4,169.66666666666666,1.6666666666666667,7.108433734939759,2.0,,,,,,,,,-1,,
Pokelawls,2025-04-28/2025-05-04,233.5,128.5,1.0,6.0,226.5,0.0,2,258.0,2.3333333333333335,1.8171206225680934,-2.0,,,,,,,,,-1,,
Pokelawls,2025-05-26/2025-06-01,146.0,61.0,1.0,8.0,136.0,1.0,1,319.8333333333333,2.6666666666666665,2.3934426229508197,-1.0,,,,,,,,,-1,,
Pokelawls,2025-06-02/2025-06-08,150.5,64.5,4.0,6.5,139.5,0.5,2,274.0,2.3333333333333335,2.3333333333333335,1.0,,,,,,,,,-1,,
Pokelawls,2025-06-09/2025-06-15,102.0,48.0,1.0,2.0,99.0,0.0,1,176.66666666666666,1.6666666666666667,2.125,-1.0,,,,,,,,,-1,,
Quackity,2024-11-04/2024-11-10,33670.0,145.0,5512.0,524.0,27347.0,287.0,1,,,232.20689655172413,0.0,0.1052631578947368,0.0446185562554796,0.0,0.1776315789473684,0.1570017482898329,5780664.0,894.0,8101.0,1,15.570029285933712,0.005824590393075951
Quackity,2024-11-18/2024-11-24,55982.0,263.0,12318.0,2559.0,40505.0,600.0,1,33670.0,1.0,212.8593155893536,0.0,0.1052631578947368,0.0446185562554796,0.0,0.1776315789473684,0.1570017482898329,5780664.0,894.0,8101.0,1,15.570029285933712,0.009684354600094383
Quackity,2024-12-09/2024-12-15,9323.0,107.0,9323.0,0.0,0.0,0.0,1,44826.0,1.0,87.13084112149532,0.0,0.1052631578947368,0.0446185562554796,0.0,0.1776315789473684,0.1570017482898329,5780664.0,894.0,8101.0,1,15.570029285933712,0.0016127905029595217
Quackity,2024-12-23/2024-12-29,85528.0,109.33333333333333,12334.0,3390.6666666666665,67647.33333333333,2156.0,3,32991.666666666664,1.0,782.2682926829268,2.0,0.1052631578947368,0.0446185562554796,0.0,0.1776315789473684,0.1570017482898329,5780664.0,894.0,8101.0,1,15.570029285933712,0.014795532139560438
Quackity,2024-12-30/2025-01-05,1974.0,140.0,1974.0,0.0,0.0,0.0,1,50277.666666666664,1.6666666666666667,14.1,-2.0,0.1052631578947368,0.0446185562554796,0.0,0.1776315789473684,0.1570017482898329,5780664.0,894.0,8101.0,1,15.570029285933712,0.00034148326213044036
